PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Moritz Wagner,ORL,ORL @ CHA,11/25/2024,W,26,16,7,10,70.0,1,2,50.0,1,4,25.0,5,3,8,2,1,0,2,2,15,29.6
Draymond Green,GSW,GSW vs. BKN,11/25/2024,L,29,6,2,6,33.3,1,3,33.3,1,4,25.0,0,6,6,7,0,0,2,3,1,21.7
Andrew Wiggins,GSW,GSW vs. BKN,11/25/2024,L,33,18,7,13,53.8,2,4,50.0,2,3,66.7,2,3,5,1,0,0,1,1,-8,24.5
Stephen Curry,GSW,GSW vs. BKN,11/25/2024,L,29,28,8,17,47.1,8,16,50.0,4,4,100,0,4,4,7,1,0,3,0,-4,43.3
Isaiah Hartenstein,OKC,OKC @ SAC,11/25/2024,W,32,19,9,15,60.0,0,0,-,1,1,100,3,7,10,4,0,0,1,5,18,36.0
Ajay Mitchell,OKC,OKC @ SAC,11/25/2024,W,18,13,5,7,71.4,1,1,100,2,2,100,0,0,0,1,0,0,0,1,0,14.5
Isaac Jones,SAC,SAC vs. OKC,11/25/2024,L,9,6,3,3,100,0,0,-,0,1,0.0,1,1,2,0,0,1,1,0,-11,10.4
Keon Ellis,SAC,SAC vs. OKC,11/25/2024,L,28,8,3,4,75.0,2,3,66.7,0,0,-,0,1,1,3,1,0,0,3,-5,16.7
Keegan Murray,SAC,SAC vs. OKC,11/25/2024,L,38,14,6,15,40.0,2,8,25.0,0,0,-,6,4,10,2,2,1,2,1,-18,36.0
Aaron Wiggins,OKC,OKC @ SAC,11/25/2024,W,22,8,3,6,50.0,1,2,50.0,1,2,50.0,1,3,4,0,1,0,2,2,4,13.8
Luguentz Dort,OKC,OKC @ SAC,11/25/2024,W,39,0,0,2,0.0,0,0,-,0,0,-,2,8,10,2,2,1,0,2,20,24.0
Kenrich Williams,OKC,OKC @ SAC,11/25/2024,W,15,10,2,2,100,2,2,100,4,4,100,1,4,5,4,0,0,0,1,8,22.0
Shai Gilgeous-Alexander,OKC,OKC @ SAC,11/25/2024,W,35,37,13,20,65.0,4,7,57.1,7,11,63.6,0,4,4,11,0,0,6,2,15,52.3
Malik Monk,SAC,SAC vs. OKC,11/25/2024,L,26,14,4,12,33.3,2,7,28.6,4,6,66.7,0,1,1,3,1,1,1,5,-19,24.7
De'Aaron Fox,SAC,SAC vs. OKC,11/25/2024,L,40,14,5,15,33.3,1,6,16.7,3,4,75.0,0,3,3,5,1,0,4,4,-22,24.1
Duop Reath,POR,POR @ MEM,11/25/2024,L,5,3,1,2,50.0,1,2,50.0,0,0,-,1,0,1,0,0,0,0,0,-7,4.2
Toumani Camara,POR,POR @ MEM,11/25/2024,L,28,10,4,15,26.7,1,8,12.5,1,2,50.0,6,2,8,3,2,0,1,3,-18,29.1
Rayan Rupert,POR,POR @ MEM,11/25/2024,L,22,9,3,8,37.5,0,3,0.0,3,4,75.0,0,1,1,1,1,1,1,0,-13,16.7
Shaedon Sharpe,POR,POR @ MEM,11/25/2024,L,30,15,4,12,33.3,1,6,16.7,6,6,100,2,2,4,2,0,2,1,0,-22,27.8
Scotty Pippen Jr.,MEM,MEM vs. POR,11/25/2024,W,14,3,1,4,25.0,0,1,0.0,1,2,50.0,2,2,4,4,1,1,0,1,10,19.8
Brandon Clarke,MEM,MEM vs. POR,11/25/2024,W,25,11,5,7,71.4,0,0,-,1,3,33.3,3,6,9,0,1,3,1,3,15,32.8
Ja Morant,MEM,MEM vs. POR,11/25/2024,W,23,22,6,12,50.0,2,3,66.7,8,10,80.0,1,1,2,11,0,1,2,1,22,41.9
Anfernee Simons,POR,POR @ MEM,11/25/2024,L,30,5,2,14,14.3,1,7,14.3,0,0,-,2,2,4,4,2,0,1,5,-22,20.8
Jaren Jackson Jr.,MEM,MEM vs. POR,11/25/2024,W,28,21,8,12,66.7,2,2,100,3,3,100,2,4,6,1,1,3,4,3,17,37.7
